Usage,Timestep,InventoryCode,Domain
93,1,000,B
94,2,000,B
94,3,000,B
94,4,000,B
94,5,000,B
95,6,000,B
95,7,000,B
96,8,000,B
96,9,000,B
96,10,000,B
96,11,000,B
96,12,000,B
96,13,000,B
97,14,000,B
98,15,000,B
98,16,000,B
98,17,000,B
98,18,000,B
98,19,000,B
98,20,000,B
99,21,000,B
99,22,000,B
100,23,000,B
100,24,000,B
100,25,000,B
97,26,000,B
95,27,000,B
93,28,000,B
91,29,000,B
92,30,000,B
92,31,000,B
71,32,000,B
51,33,000,B
52,34,000,B
52,35,000,B
52,36,000,B
52,37,000,B
52,38,000,B
53,39,000,B
53,40,000,B
53,41,000,B
53,42,000,B
53,43,000,B
54,44,000,B
53,45,000,B
53,46,000,B
53,47,000,B
54,48,000,B
54,49,000,B
54,50,000,B
54,51,000,B
54,52,000,B
55,53,000,B
55,54,000,B
55,55,000,B
44,56,000,B
33,57,000,B
33,58,000,B
33,59,000,B
34,60,000,B
34,61,000,B
34,62,000,B
34,63,000,B
34,64,000,B
34,65,000,B
34,66,000,B
34,67,000,B
34,68,000,B
34,69,000,B
35,70,000,B
35,71,000,B
35,72,000,B
35,73,000,B
35,74,000,B
35,75,000,B
35,76,000,B
35,77,000,B
35,78,000,B
36,79,000,B
36,80,000,B
36,81,000,B
36,82,000,B
36,83,000,B
36,84,000,B
36,85,000,B
36,86,000,B
36,87,000,B
36,88,000,B
36,89,000,B
36,90,000,B
36,91,000,B
36,92,000,B
37,93,000,B
37,94,000,B
73,1,001,B
73,2,001,B
73,3,001,B
73,4,001,B
73,5,001,B
73,6,001,B
73,7,001,B
73,8,001,B
73,9,001,B
73,10,001,B
73,11,001,B
73,12,001,B
74,13,001,B
74,14,001,B
74,15,001,B
74,16,001,B
74,17,001,B
74,18,001,B
74,19,001,B
74,20,001,B
74,21,001,B
74,22,001,B
74,23,001,B
74,24,001,B
74,25,001,B
74,26,001,B
74,27,001,B
75,28,001,B
75,29,001,B
75,30,001,B
75,31,001,B
75,32,001,B
75,33,001,B
75,34,001,B
75,35,001,B
75,36,001,B
75,37,001,B
75,38,001,B
75,39,001,B
75,40,001,B
75,41,001,B
76,42,001,B
76,43,001,B
76,44,001,B
76,45,001,B
76,46,001,B
76,47,001,B
76,48,001,B
76,49,001,B
76,50,001,B
76,51,001,B
76,52,001,B
76,53,001,B
76,54,001,B
76,55,001,B
77,56,001,B
77,57,001,B
77,58,001,B
77,59,001,B
77,60,001,B
77,61,001,B
77,62,001,B
78,63,001,B
78,64,001,B
78,65,001,B
78,66,001,B
78,67,001,B
78,68,001,B
79,69,001,B
79,70,001,B
79,71,001,B
79,72,001,B
79,73,001,B
79,74,001,B
79,75,001,B
79,76,001,B
79,77,001,B
79,78,001,B
79,79,001,B
79,80,001,B
79,81,001,B
79,82,001,B
79,83,001,B
79,84,001,B
79,85,001,B
79,86,001,B
79,87,001,B
80,88,001,B
80,89,001,B
81,90,001,B
83,91,001,B
87,92,001,B
80,93,001,B
80,94,001,B
43,1,002,B
43,2,002,B
43,3,002,B
43,4,002,B
43,5,002,B
43,6,002,B
43,7,002,B
43,8,002,B
43,9,002,B
43,10,002,B
46,11,002,B
44,12,002,B
44,13,002,B
44,14,002,B
44,15,002,B
44,16,002,B
44,17,002,B
44,18,002,B
44,19,002,B
47,20,002,B
44,21,002,B
44,22,002,B
44,23,002,B
44,24,002,B
45,25,002,B
44,26,002,B
44,27,002,B
44,28,002,B
44,29,002,B
44,30,002,B
44,31,002,B
44,32,002,B
44,33,002,B
44,34,002,B
44,35,002,B
44,36,002,B
44,37,002,B
44,38,002,B
44,39,002,B
44,40,002,B
44,41,002,B
45,42,002,B
45,43,002,B
44,44,002,B
44,45,002,B
34,46,002,B
39,47,002,B
44,48,002,B
44,49,002,B
44,50,002,B
44,51,002,B
44,52,002,B
44,53,002,B
44,54,002,B
44,55,002,B
45,56,002,B
45,57,002,B
45,58,002,B
45,59,002,B
45,60,002,B
45,61,002,B
45,62,002,B
45,63,002,B
45,64,002,B
45,65,002,B
45,66,002,B
45,67,002,B
45,68,002,B
45,69,002,B
45,70,002,B
45,71,002,B
45,72,002,B
45,73,002,B
45,74,002,B
45,75,002,B
45,76,002,B
45,77,002,B
45,78,002,B
45,79,002,B
45,80,002,B
45,81,002,B
46,82,002,B
46,83,002,B
46,84,002,B
46,85,002,B
45,86,002,B
45,87,002,B
46,88,002,B
46,89,002,B
46,90,002,B
46,91,002,B
46,92,002,B
46,93,002,B
46,94,002,B
89,1,003,B
77,2,003,B
66,3,003,B
55,4,003,B
44,5,003,B
44,6,003,B
56,7,003,B
69,8,003,B
82,9,003,B
82,10,003,B
82,11,003,B
82,12,003,B
82,13,003,B
83,14,003,B
83,15,003,B
83,16,003,B
83,17,003,B
83,18,003,B
83,19,003,B
83,20,003,B
84,21,003,B
84,22,003,B
84,23,003,B
84,24,003,B
84,25,003,B
84,26,003,B
84,27,003,B
84,28,003,B
84,29,003,B
84,30,003,B
84,31,003,B
84,32,003,B
84,33,003,B
84,34,003,B
84,35,003,B
84,36,003,B
84,37,003,B
84,38,003,B
84,39,003,B
85,40,003,B
84,41,003,B
84,42,003,B
84,43,003,B
85,44,003,B
85,45,003,B
85,46,003,B
85,47,003,B
85,48,003,B
85,49,003,B
85,50,003,B
85,51,003,B
85,52,003,B
85,53,003,B
85,54,003,B
85,55,003,B
85,56,003,B
85,57,003,B
85,58,003,B
86,59,003,B
86,60,003,B
86,61,003,B
86,62,003,B
86,63,003,B
86,64,003,B
86,65,003,B
86,66,003,B
86,67,003,B
86,68,003,B
86,69,003,B
86,70,003,B
86,71,003,B
87,72,003,B
87,73,003,B
87,74,003,B
87,75,003,B
87,76,003,B
87,77,003,B
87,78,003,B
87,79,003,B
87,80,003,B
87,81,003,B
87,82,003,B
87,83,003,B
87,84,003,B
88,85,003,B
88,86,003,B
88,87,003,B
88,88,003,B
88,89,003,B
88,90,003,B
88,91,003,B
88,92,003,B
88,93,003,B
88,94,003,B
31,1,004,B
31,2,004,B
31,3,004,B
31,4,004,B
32,5,004,B
32,6,004,B
32,7,004,B
32,8,004,B
32,9,004,B
31,10,004,B
31,11,004,B
36,12,004,B
46,13,004,B
46,14,004,B
46,15,004,B
46,16,004,B
46,17,004,B
46,18,004,B
46,19,004,B
46,20,004,B
46,21,004,B
46,22,004,B
46,23,004,B
46,24,004,B
46,25,004,B
46,26,004,B
46,27,004,B
47,28,004,B
34,29,004,B
34,30,004,B
34,31,004,B
34,32,004,B
34,33,004,B
34,34,004,B
34,35,004,B
34,36,004,B
29,37,004,B
29,38,004,B
34,39,004,B
34,40,004,B
34,41,004,B
22,42,004,B
22,43,004,B
22,44,004,B
22,45,004,B
22,46,004,B
22,47,004,B
22,48,004,B
22,49,004,B
22,50,004,B
22,51,004,B
22,52,004,B
22,53,004,B
22,54,004,B
22,55,004,B
22,56,004,B
22,57,004,B
22,58,004,B
22,59,004,B
22,60,004,B
22,61,004,B
19,62,004,B
25,63,004,B
25,64,004,B
25,65,004,B
25,66,004,B
25,67,004,B
25,68,004,B
27,69,004,B
26,70,004,B
27,71,004,B
27,72,004,B
26,73,004,B
26,74,004,B
26,75,004,B
26,76,004,B
26,77,004,B
26,78,004,B
26,79,004,B
26,80,004,B
27,81,004,B
27,82,004,B
27,83,004,B
27,84,004,B
27,85,004,B
27,86,004,B
27,87,004,B
27,88,004,B
27,89,004,B
27,90,004,B
27,91,004,B
27,92,004,B
27,93,004,B
27,94,004,B
12,1,005,B
12,2,005,B
12,3,005,B
12,4,005,B
12,5,005,B
12,6,005,B
12,7,005,B
12,8,005,B
12,9,005,B
12,10,005,B
12,11,005,B
12,12,005,B
13,13,005,B
13,14,005,B
13,15,005,B
13,16,005,B
13,17,005,B
13,18,005,B
13,19,005,B
13,20,005,B
13,21,005,B
13,22,005,B
13,23,005,B
13,24,005,B
13,25,005,B
13,26,005,B
13,27,005,B
13,28,005,B
13,29,005,B
13,30,005,B
13,31,005,B
13,32,005,B
13,33,005,B
13,34,005,B
13,35,005,B
13,36,005,B
13,37,005,B
13,38,005,B
13,39,005,B
13,40,005,B
13,41,005,B
13,42,005,B
13,43,005,B
13,44,005,B
13,45,005,B
13,46,005,B
13,47,005,B
13,48,005,B
13,49,005,B
13,50,005,B
13,51,005,B
13,52,005,B
13,53,005,B
13,54,005,B
13,55,005,B
13,56,005,B
13,57,005,B
13,58,005,B
13,59,005,B
13,60,005,B
13,61,005,B
13,62,005,B
13,63,005,B
13,64,005,B
13,65,005,B
13,66,005,B
13,67,005,B
13,68,005,B
13,69,005,B
13,70,005,B
13,71,005,B
13,72,005,B
13,73,005,B
13,74,005,B
13,75,005,B
13,76,005,B
13,77,005,B
13,78,005,B
13,79,005,B
13,80,005,B
14,81,005,B
13,82,005,B
13,83,005,B
13,84,005,B
13,85,005,B
13,86,005,B
13,87,005,B
14,88,005,B
13,89,005,B
14,90,005,B
14,91,005,B
14,92,005,B
14,93,005,B
14,94,005,B
52,1,006,B
52,2,006,B
52,3,006,B
52,4,006,B
53,5,006,B
53,6,006,B
53,7,006,B
54,8,006,B
54,9,006,B
54,10,006,B
54,11,006,B
55,12,006,B
55,13,006,B
55,14,006,B
56,15,006,B
56,16,006,B
56,17,006,B
56,18,006,B
57,19,006,B
57,20,006,B
57,21,006,B
57,22,006,B
57,23,006,B
57,24,006,B
58,25,006,B
58,26,006,B
59,27,006,B
59,28,006,B
59,29,006,B
59,30,006,B
59,31,006,B
60,32,006,B
60,33,006,B
60,34,006,B
61,35,006,B
61,36,006,B
61,37,006,B
61,38,006,B
61,39,006,B
62,40,006,B
62,41,006,B
62,42,006,B
62,43,006,B
62,44,006,B
38,45,006,B
38,46,006,B
15,47,006,B
15,48,006,B
16,49,006,B
16,50,006,B
16,51,006,B
16,52,006,B
17,53,006,B
17,54,006,B
17,55,006,B
18,56,006,B
18,57,006,B
18,58,006,B
18,59,006,B
18,60,006,B
19,61,006,B
19,62,006,B
20,63,006,B
20,64,006,B
20,65,006,B
20,66,006,B
20,67,006,B
21,68,006,B
21,69,006,B
22,70,006,B
22,71,006,B
22,72,006,B
22,73,006,B
22,74,006,B
23,75,006,B
23,76,006,B
23,77,006,B
24,78,006,B
24,79,006,B
24,80,006,B
24,81,006,B
25,82,006,B
25,83,006,B
25,84,006,B
26,85,006,B
26,86,006,B
26,87,006,B
26,88,006,B
26,89,006,B
26,90,006,B
27,91,006,B
27,92,006,B
27,93,006,B
27,94,006,B
92,1,007,B
92,2,007,B
91,3,007,B
92,4,007,B
92,5,007,B
92,6,007,B
92,7,007,B
92,8,007,B
92,9,007,B
91,10,007,B
92,11,007,B
92,12,007,B
93,13,007,B
93,14,007,B
93,15,007,B
92,16,007,B
92,17,007,B
92,18,007,B
93,19,007,B
93,20,007,B
93,21,007,B
93,22,007,B
92,23,007,B
92,24,007,B
92,25,007,B
93,26,007,B
93,27,007,B
93,28,007,B
93,29,007,B
93,30,007,B
92,31,007,B
93,32,007,B
93,33,007,B
93,34,007,B
94,35,007,B
93,36,007,B
93,37,007,B
93,38,007,B
93,39,007,B
94,40,007,B
94,41,007,B
94,42,007,B
94,43,007,B
93,44,007,B
93,45,007,B
93,46,007,B
